epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.0345,3.40329,0.09639,0.33133,3.22437,0.000102677,0.000102677,0.000102677
2,183.846,2.81193,0.48795,0.98193,1.40588,0.000186517,0.000186517,0.000186517
3,274.202,1.63272,0.73494,1,0.72238,0.000249698,0.000249698,0.000249698
4,363.747,1.09232,0.96988,1,0.24946,0.000220039,0.000220039,0.000220039
5,453.108,0.80929,0.95181,1,0.23082,0.000189052,0.000189052,0.000189052
6,682.153,0.67596,0.98193,1,0.08943,0.000158065,0.000158065,0.000158065
7,771.147,0.56897,0.98795,1,0.04511,0.000127078,0.000127078,0.000127078
8,860.6,0.53976,0.99398,1,0.04083,9.6091e-05,9.6091e-05,9.6091e-05
9,950.267,0.47522,0.98193,1,0.03813,6.5104e-05,6.5104e-05,6.5104e-05
10,1039.71,0.44716,0.99398,1,0.02679,3.4117e-05,3.4117e-05,3.4117e-05
