epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,90.9641,2.34348,0.26804,0.75773,2.07687,0.000704219,0.00023474,0.000704219,0.00023474,0.000704219,0.00023474,0.000704219,0.00023474
2,172.006,2.02073,0.63402,0.98454,1.49432,0.00127782,0.000425938,0.00127782,0.000425938,0.00127782,0.000425938,0.00127782,0.000425938
3,242.815,1.56192,0.90206,1,0.68291,0.00171004,0.000570013,0.00171004,0.000570013,0.00171004,0.000570013,0.00171004,0.000570013
4,313.645,0.9932,0.95361,1,0.25642,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942
5,384.217,0.67059,0.96907,1,0.16175,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256
6,455.855,0.50335,0.96907,1,0.11492,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
7,526.804,0.40649,0.97423,1,0.11124,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
8,597.694,0.35571,0.97423,1,0.08759,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198
9,667.906,0.32814,0.98969,1,0.07346,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512
10,739.156,0.28985,0.98969,1,0.08199,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05
